110           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 0.000194523   0.0146728    0.266331      1.8054     6.16851      13.173     20.4122     25.6901     28.1188      28.066     26.5384     24.1752      21.788     19.3007     17.2199      15.289     13.7235     12.3604     11.2952     10.3479      9.5836     8.99326     8.47608     8.07028       7.803     7.58441     7.43475     7.34079     7.37103     7.42416     7.55585      7.7219     7.95128     8.24458     8.61479     8.96763     9.42209     9.81667     10.2894     10.7545     11.2123     11.6421     12.0352     12.4137     12.7839     13.0404     13.2388     13.3751     13.3849     13.3067     13.1806     12.9268     12.6869     12.3656     12.0373     11.7263     11.4174     11.1134     10.8601     10.6132     10.4104     10.2043     10.0974     9.98013     9.82813     9.74079     9.72999
120           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 0.000243154    0.016186    0.294134      1.9734     6.74678     14.3764     22.2772     28.0256     30.6897     30.6232     28.9579     26.3681     23.7676     21.0529     18.7873     16.6807     14.9626     13.4874     12.3183     11.2848     10.4506     9.79691     9.24432     8.79571     8.51865      8.2675     8.09845     8.00684      8.0385     8.08921     8.23447     8.42099     8.67306      8.9961     9.38871     9.78619     10.2932      10.716     11.2385     11.7371     12.2433     12.7135     13.1336     13.5501     13.9497     14.2343      14.445     14.5922     14.5968     14.5161     14.3606     14.1056     13.8417      13.478      13.125     12.7884     12.4488      12.118     11.8381     11.5751     11.3453     11.1236     11.0082     10.8853     10.7162     10.6278     10.6211
130           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 0.000243154   0.0173323    0.316003     2.13423     7.31515     15.5777     24.1226     30.3631     33.2806     33.2047     31.3466     28.5775     25.7334     22.8056     20.3295     18.0664     16.2008     14.5986     13.3292     12.2184     11.3293     10.6197     10.0224      9.5412     9.23126     8.97463     8.77229     8.67491     8.70243     8.77134      8.9131     9.11667     9.38824     9.75054     10.1756     10.5996     11.1389     11.5995     12.1643     12.7125     13.2623      13.776     14.2378     14.6805     15.1196     15.4252     15.6534     15.8126      15.815      15.729     15.5637      15.292     14.9909     14.6051     14.2289     13.8558     13.4873     13.1308      12.819     12.5349     12.2848     12.0466     11.9223     11.7916     11.6071     11.5078     11.4973
140           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 0.000340415    0.018662    0.340601     2.30309     7.88721     16.7982     25.9868     32.6992     35.8506     35.7493     33.7266     30.7818     27.7139     24.5393     21.9003     19.4628     17.4454     15.7217     14.3615     13.1676     12.2047     11.4503     10.8063     10.2835     9.93168     9.66099     9.43571     9.34457     9.36716     9.43597     9.58067     9.80957      10.104     10.4939     10.9506     11.4174      11.996     12.4959     13.1164     13.7047     14.3012     14.8464     15.3485     15.8225     16.2915     16.6142     16.8638     17.0215     17.0338     16.9379     16.7525     16.4645     16.1404     15.7123     15.3167     14.9132     14.5272     14.1412     13.8026     13.4958      13.234     12.9753     12.8403     12.6943     12.4995     12.3963     12.3768
150           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 0.000340415   0.0203586    0.363683     2.46494     8.44911     17.9844     27.8553     35.0252     38.4178     38.3322     36.1581     32.9681     29.6851     26.3066     23.4524     20.8433     18.6632     16.8319     15.3708      14.106     13.0648     12.2627      11.582     11.0177     10.6372     10.3577      10.122     10.0161      10.042     10.1143     10.2839     10.5137     10.8309     11.2468     11.7367     12.2362     12.8559     13.4017     14.0575     14.6885     15.3184     15.9066     16.4481     16.9578     17.4503     17.8019     18.0641      18.223     18.2386      18.134     17.9318     17.6297     17.2816     16.8289     16.4102     15.9759     15.5708     15.1478     14.7908     14.4662     14.1823     13.9091     13.7645     13.6077     13.4011     13.2882     13.2638
160           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 0.000340415   0.0214132    0.385899     2.62803     9.01736     19.2019     29.7428     37.3885     40.9984     40.8957     38.5563     35.1552     31.6447     28.0479     24.9821     22.2229     19.9086     17.9498     16.3932     15.0412     13.9265     13.0825     12.3573     11.7626     11.3437     11.0596     10.8057     10.6923     10.7146     10.7915     10.9606     11.2128     11.5477     11.9907     12.5094     13.0535     13.7077     14.3014     15.0017     15.6702     16.3447     16.9673     17.5462     18.0983     18.6211     18.9943     19.2601     19.4312     19.4566     19.3491     19.1291     18.8056     18.4315     17.9428     17.4977     17.0393     16.6014     16.1527     15.7723     15.4241     15.1269     14.8419     14.6805      14.514     14.3018     14.1759     14.1482
170           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 0.000340415   0.0227887    0.407768     2.79209     9.56346     20.3761     31.5864     39.7139     43.5451     43.4735     40.9763     37.3519     33.6214     29.8196     26.5425      23.632     21.1402     19.0695     17.4129     15.9833     14.7967     13.9114     13.1292     12.4989      12.046     11.7514     11.4813     11.3632     11.3786     11.4696      11.647     11.9111     12.2734     12.7438     13.2973     13.8671     14.5611     15.1921     15.9316     16.6435      17.357     18.0284     18.6323     19.2242     19.7848     20.1798     20.4612     20.6532     20.6744     20.5576     20.3275       19.98     19.5883     19.0722     18.6016     18.1108     17.6487     17.1739     16.7627      16.393     16.0711     15.7732     15.5912     15.4058     15.1868     15.0574     15.0325
180           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 0.000340415   0.0237516    0.430244      2.9594     10.1196     21.5743     33.4594     42.0695     46.0974     46.0331     43.3689       39.55     35.5961     31.5641     28.0905     25.0044     22.3683     20.1855      18.427     16.9213     15.6766     14.7291     13.8977     13.2417     12.7735     12.4416     12.1722     12.0472     12.0551     12.1576     12.3371     12.6163     13.0024     13.4984     14.0715     14.6839     15.4101     16.0827     16.8609     17.6151     18.3734     19.0871     19.7226      20.352     20.9341     21.3666     21.6612     21.8724     21.8991     21.7684     21.5141     21.1526     20.7447     20.1993     19.7018     19.1785     18.6805     18.1822     17.7458     17.3505      17.024     16.7031     16.5125     16.3195     16.0864     15.9456     15.9158
190           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 0.000340415   0.0249438    0.453283     3.13231     10.6894     22.7876     35.3477     44.4273     48.6416     48.5916     45.7735     41.7863     37.5694     33.3275     29.6371     26.3847     23.6108     21.3052     19.4335     17.8528     16.5269     15.5287     14.6607     13.9673     13.4792     13.1291     12.8423     12.7109     12.7191     12.8313     13.0227     13.3129     13.7268     14.2568     14.8541     15.5042      16.269     16.9899      17.804        18.6     19.4111      20.156     20.8286     21.5016     22.1036     22.5588     22.8726     23.0811     23.1145     22.9772      22.704     22.3258     21.8985      21.328     20.7916     20.2408      19.707     19.1811     18.7273      18.302     17.9542     17.6241     17.4222     17.2136     16.9748     16.8219     16.7984
200           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 0.000340415   0.0265028    0.476408      3.3024     11.2564     23.9751     37.1975     46.7906     51.1928      51.131     48.2023     44.0039     39.5345     35.0873     31.2114     27.7739     24.8509     22.4358     20.4427      18.795     17.3882     16.3302     15.4233     14.7001     14.1925     13.8125     13.5071     13.3802     13.3964     13.5008     13.7133     14.0044     14.4445     15.0014     15.6482     16.3226     17.1319     17.8927     18.7492     19.5791     20.4436     21.2155     21.9243     22.6317     23.2714     23.7479     24.0809     24.3026     24.3301     24.1823     23.8998     23.5018     23.0429     22.4557      21.884     21.2988     20.7396     20.1873     19.7049     19.2565     18.8999     18.5518     18.3417     18.1146     17.8638     17.7044     17.6876
