110           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0   0.0138475    0.319771     1.94226     6.44488     13.3604     20.8932     26.2724     28.4776      28.275     26.2163     23.7342      21.482     19.2011     16.6281     15.0627     13.4761     12.3946     11.0677     10.3277     9.44515      8.8999     8.52651     8.21783     7.90424     7.65221     7.63097     7.46758     7.53719     7.45325     7.54721     7.84861     8.18268     8.26437     8.53083       8.805      9.3367     9.80505      10.204     10.6621      11.085     11.5579      12.086     12.6314     12.9756     13.2847     13.3511     13.5902     13.3253     13.2336      13.114      12.791     12.6643     12.2525     11.8939     11.6965     11.3406     10.9004     10.5848     10.4982     10.4542     10.2026     10.1009     9.82888     9.88495     9.89967     9.74446
120           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0   0.0138475    0.353723     2.13103     7.01608     14.6025      22.816      28.641     30.9463     30.7837     28.5288     25.8349     23.4753     20.8952     18.1428     16.4059     14.7771     13.6436       12.12      11.264     10.3399      9.7697     9.31241     8.97089     8.62962     8.31259     8.36822      8.1557      8.2299     8.11237     8.20907     8.48649     8.85792     9.00337     9.34376     9.61703     10.2126     10.7447     11.1867     11.6095     12.1372     12.5959     13.2311     13.7368     14.1292      14.437     14.5141     14.7732     14.5326     14.4712     14.3101     13.8931     13.7963     13.4045     13.0089     12.7431     12.3343     11.8755     11.5447     11.4375     11.3995     11.1101      11.021     10.7983     10.8369     10.8329     10.6791
130           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0   0.0138475    0.359179     2.29506     7.64582     15.8893     24.6616     30.9734     33.3682     33.3674     30.9509     28.0967     25.4206     22.5991     19.6137     17.6681     15.9841     14.8164     13.1628     12.2715     11.2922     10.6184     10.1015     9.73951      9.4173     9.00142     9.07427     8.81937     8.87574     8.77233     8.88309      9.2044     9.59702     9.78264     10.1238     10.4031     11.0586     11.6178     12.1143     12.5818     13.1928     13.6531     14.3606     14.8285     15.2655     15.5437     15.7245     15.9756      15.711     15.6106     15.4738     15.0911     14.9747     14.5027     14.0628     13.7992      13.359     12.8833     12.5387     12.4144     12.3993     12.1238     12.0425     11.7738     11.7633     11.7511     11.5467
140           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0   0.0153148     0.39469     2.51586     8.25715     17.1459     26.4538     33.2436     36.0017      35.968     33.2564     30.0997     27.3208     24.2827     21.1668     19.0133     17.1993     15.9786     14.2498     13.2891     12.2466      11.509     10.9059     10.5045     10.1492     9.75328      9.8229     9.50838     9.53032      9.4691     9.58837     9.86948     10.2921     10.4996     10.9131      11.192     11.8125     12.4479     12.9686     13.5333     14.1583     14.7048     15.4159     15.9855     16.4451     16.7533     16.9825     17.2284     17.0029     16.8051     16.6752     16.3039     16.1206     15.5932     15.1555     14.8749     14.4239     13.9094     13.4939     13.3558     13.3808     13.0715     12.9368      12.645     12.6851     12.6682     12.4295
150           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0   0.0153148    0.410453     2.65597     8.84683     18.4257     28.4491     35.5665     38.4065     38.4561     35.7263     32.3113     29.2707     26.0011     22.7018     20.3656     18.4564     17.0344     15.3129     14.2347     13.0851     12.2747     11.6306     11.3011     10.8761     10.4947     10.5655     10.1867     10.2298      10.162      10.242     10.6042     11.0127      11.234     11.6999     12.0211     12.6966     13.3264     13.8783     14.4921     15.1612     15.7734     16.5066     17.0955     17.5572     17.9344     18.1937     18.4015     18.1961     17.9876        17.9     17.4605     17.2162     16.7313     16.3306     15.9935     15.4391     14.9415     14.4931     14.3377     14.3344     13.9921     13.8533     13.5258      13.577     13.5429     13.3319
160           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0   0.0153148    0.429681      2.8222     9.45196     19.5849     30.3542     38.0036     40.8748     40.9002     38.1132     34.5857     31.3097      27.728     24.2831     21.7842     19.7506      18.225     16.3612     15.1185     13.8439     13.0561     12.3588     11.9987     11.5604     11.1842     11.2075     10.8905     10.9365     10.8133     10.9145     11.3535     11.8211     12.0625     12.5298     12.8662     13.5633     14.1991     14.8168     15.4809     16.1717     16.7901       17.55      18.208      18.673     19.1016     19.3649     19.6827     19.4128     19.1493      19.046     18.6303     18.4143     17.8956     17.4551     17.0854     16.4911     15.9312     15.4425     15.2771     15.2523     14.8847     14.7477     14.4447     14.4754     14.4127     14.2122
170           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0   0.0153148    0.449862      3.0122      10.063     20.7988     32.1651     40.5124     43.4523     43.3905     40.5669     36.8202     33.2414     29.5643     25.7796     23.2332     20.9255     19.2044     17.3231     16.0845      14.649     13.8943     13.1467     12.7443     12.2711     11.9064     11.8672     11.5482     11.5752     11.4953     11.6276     12.1034      12.531     12.8039      13.352     13.7165     14.4147     15.1108     15.8047     16.4961     17.2115     17.8497     18.6491     19.2943     19.7987     20.2726     20.5479      20.918     20.6173     20.3619     20.2772      19.834     19.5459     19.0329     18.5698     18.2019     17.5763     16.9143     16.3863     16.2309     16.1693      15.776     15.6346     15.3223     15.3513     15.2756     15.1077
180           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0   0.0201751    0.472901     3.20187     10.6122     22.0821     34.1863     42.9699     46.0256     46.1122      43.109     39.0141      35.082     31.1981     27.1312     24.4754     22.0732     20.3135     18.2788     16.9968     15.4691     14.6427     13.9566     13.5005     13.1156     12.6772     12.5619     12.2508     12.2697     12.2053     12.3323     12.8261     13.2685     13.6271     14.1776     14.5389     15.2116     16.0462     16.7392     17.4374     18.1913     18.8891     19.7245     20.4231     20.9322     21.4376     21.7626     22.1384     21.9053      21.613     21.4455     20.9822     20.6902     20.1581     19.5909     19.2108     18.5747     17.9064     17.3346     17.1696     17.0867     16.6928     16.5334     16.2622     16.2811      16.242     16.0581
190           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0   0.0225595    0.503561     3.32633     11.2192     23.3557     36.0804     45.1474     48.6748     48.6487     45.6104     41.2955     37.0785      32.929     28.7022      25.799      23.323     21.4163      19.252     17.9066     16.3092     15.3958     14.6946     14.1992      13.732     13.3458     13.2885     12.9326      12.973      12.882     13.0252     13.5744     14.0514     14.4019     15.0332     15.3971     16.1076     16.9546     17.7103     18.4667     19.2018     19.9422     20.8081     21.5093     22.1054     22.5434     22.9861     23.3046     23.1057     22.8537     22.5972     22.1208     21.8189     21.2319     20.6548      20.275     19.5765     18.9304     18.3066     18.1256     18.0164     17.5958     17.4444     17.1979     17.1957     17.1775     17.0145
200           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0   0.0225595    0.516553     3.55565      11.861     24.5481     37.8591     47.4729     51.3096      51.163     47.9907     43.5339     38.9681     34.5568     30.1914     27.1548     24.6051     22.6504     20.2049     18.8782     17.1983     16.2171     15.4705     14.9191      14.456     14.0727     14.0113     13.7078     13.6478      13.567     13.7758      14.319     14.7996     15.1314     15.8237     16.2291     16.9591     17.8425      18.687     19.4265     20.1505     20.9806     21.8625     22.5882     23.2569     23.7127     24.1368     24.4506     24.3133     24.0137     23.7734     23.2682     22.9306     22.2971     21.7768     21.3593     20.6546     19.9557     19.3304     19.0703     19.0019     18.5775     18.4316     18.1412     18.1523     18.1025     17.9365
